Timestamp_s,Position_m,Velocity_ms,Angle_rad,Angular_Velocity_rads,Integral_Position_ms,Control_Input_rads
0.35046887397766113,-0.1008,-0.0035,0.0045,0.1639,-0.0391,-0.0202
0.3506448268890381,-0.1008,-0.0027,0.0053,0.0323,-0.0401,-0.0291
0.3507988452911377,-0.1008,-0.0021,0.0054,0.0242,-0.0411,-0.0422
0.35094380378723145,-0.1008,-0.0019,0.0048,-0.1073,-0.0421,-0.1448
0.35106682777404785,-0.1008,-0.0028,0.0022,-0.1269,-0.0431,-0.28
0.35120677947998047,-0.1009,-0.0047,0.0003,0.0088,-0.0441,-0.3421
0.351334810256958,-0.101,-0.0066,0.0011,0.3827,-0.0451,-0.1585
0.3514747619628906,-0.1011,-0.0062,0.0065,0.3901,-0.0462,0.069
0.3515970706939697,-0.1011,-0.0036,0.0087,0.0122,-0.0472,0.0693
0.35173988342285156,-0.101,-0.0019,0.0067,-0.1854,-0.0482,-0.0718
0.3518798351287842,-0.1011,-0.002,0.0037,-0.1728,-0.0492,-0.2265
0.3520088195800781,-0.1011,-0.0036,0.0014,-0.0902,-0.0502,-0.3456
0.35213279724121094,-0.1012,-0.0059,-0.0019,0.0789,-0.0512,-0.381
0.35227084159851074,-0.1014,-0.0078,-0.0005,0.499,-0.0522,-0.1361
0.3523859977722168,-0.1014,-0.0068,0.0061,0.6038,-0.0532,0.2246
0.3525197505950928,-0.1013,-0.0026,0.0112,0.0585,-0.0543,0.2715
0.35265684127807617,-0.1013,0.0008,0.0087,-0.1648,-0.0553,0.1578
0.35279369354248047,-0.1012,0.0021,0.0066,-0.1233,-0.0563,0.0568
0.35291290283203125,-0.1012,0.002,0.0048,-0.1073,-0.0573,-0.0471
0.35303187370300293,-0.1012,0.001,0.0028,0.0263,-0.0583,-0.0794
0.3531489372253418,-0.1012,-0.0001,0.0037,0.18,-0.0593,-0.0074
0.35326385498046875,-0.1012,-0.0001,0.0051,0.1521,-0.0603,0.0563
0.3533806800842285,-0.1012,0.0005,0.0059,0.1483,-0.0613,0.1241
0.35349392890930176,-0.1012,0.0015,0.0071,0.1375,-0.0624,0.1941
